Title,Artist,Lyrics
Lucky You (feat. Joyner Lucas),Eminem feat. Joyner Lucas,"Whoa, Joyner, Joyner, yeah, yeah, yeah

Yeah, I done did a lot of things in my day, I admit it
I don't take back what I say, if I said it, then I meant it
All my life I want a Grammy, but I'll prolly never get it
I ain't never had no trophy or no motherfuckin' ribbon (yeah, yeah, yeah)
Fuck the system, I'm that nigga, bend the law, cut the rules
I'm about to risk it all, I ain't got too much to lose (yeah, yeah, yeah, yeah)
Y'all been eatin' long enough, it's my turn to cut the food (yeah)
Pass the plate (yeah), where my drink (hol' up)?
This my day (yeah, yeah), lucky you, fuck you too, woo!

Y'all gotta move, y'all gotta move, y'all gotta move
Give me some room (woo!), give me some room (hey!), give me the juice
Hop out the coupe, hop out the coupe, hop out and shoot
Y'all gotta move (boom, bap), y'all gotta move (woo!), give me the juice

Back on my bullshit, my back to the wall
Turn my back on you, all of you finished (bap, bop, bop)
Back to these bullets, it's back to the job
Pull my MAC out and all of you runnin' (yeah, yeah, yeah)
Back on my hood shit, it's back to the pushin'
These packs and I'm actually pumpin'
Can't fuck with you rappers, you practically suckin' (yuh)
You might'a went platinum, but that don't mean nothin'

I'm actually buzzin' this time
Straight out the kitchen, I told 'em the oven is mine
I do not fuck with you guys (woo!)
If I don't kill you, just know you gon' suffer this time (yeah!)
I ain't no gangster, but I got some bangers
Some chains and some blades and a couple of knives
Choppers and jammies, a partridge, a pear tree
My Twelve Days of Christmas was nothin' but lies (I)

Run at you hard like a sumo (sumo)
They say I talk like a chulo (chulo!)
I live on Mars, I'm not Bruno (woo!)
Bitch, I'm a dog, call me Cujo (rah)
You play your cards, I reverse on you all
And I might just draw four like a Uno (bup)
Cállate boca mejor, maricón
Little puto, and all of you culo (Joyner)

They've invented a level up in the ghetto to get old
Lookin' for somethin' I prolly can never find now (yeah, yeah)
..."
Love the Way You Lie (feat. Rihanna),Eminem feat. Rihanna,"Just gonna stand there and watch me burn?
Well, that's alright because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's alright because I love the way you lie
I love the way you lie

I can't tell you what it really is
I can only tell you what it feels like
And right now, there's a steel knife in my windpipe
I can't breathe, but I still fight while I can fight
As long as the wrong feels right, it's like I'm in flight
High off her love, drunk from her hate
It's like I'm huffin' paint, and I love her the more I suffer, I suffocate
And right before I'm about to drown, she resuscitates me
She f- hates me, and I love it

""Wait! Where you going?"" ""I'm leaving you""
""No, you ain't, come back""
We're running right back, here we go again
It's so insane 'cause when it's going good, it's going great
I'm Superman with the wind at his back, she's Lois Lane
But when it's bad, it's awful
I feel so ashamed, I snapped, ""Who's that dude?""
I don't even know his name
I laid hands on her, I'll never stoop so low again
I guess I don't know my own strength

Just gonna stand there and watch me burn?
Well, that's alright because I like the way it hurts
Just gonna stand there and hear me cry?
..."
Berzerk,Eminem,"Now this shit's about to kick off, this party looks wack
Let's take it back to straight hip-hop and start it from scratch
I'm 'bout to bloody this track up, everybody get back
That's why my pen needs a pad, 'cause my rhymes on the ra-aag
Just like I did with addiction, I'm 'bout to kick it
Like a magician, critics I turn to crickets
Got 'em still on the fence whether to picket
But quick to get impaled when I tell 'em ""stick it""
So sick I'm looking pale, well that's my pigment
'Bout to go ham, ya bish, shoutout to Kendrick
Let's bring it back to that vintage Slim, bitch!
The art of the MCin' mixed with da Vinci and MC Ren
And I don't mean Stimpy's friend, bitch!
Been public enemy since you thought PE was gym, bitch!

(Kick your shoes off)
(Let your hair down and)
(Go berzerk)
All night long

(Grow your beard out)
(Just weird out and)
(Go berzerk)
All night long

We're gonna rock this house until we knock it down
So turn the volume loud, cause it's mayhem 'till the AM
So baby make just like K-Fed and let yourself go
Let yourself go
Say fuck it before we kick the bucket
Life's too short to not go for broke
So everybody, everybody (go berzerk), move your body

Guess it's just the way that I'm dressed, ain't it?
Khakis pressed, Nike shoes, crispy and fresh laced
So I guess it ain't
That aftershave or cologne that made 'em just faint
Plus I showed up with a coat fresher than wet paint
..."
I Need a Doctor (feat. Eminem & Skylar Grey),Dr. Dre feat. Eminem & Skylar Grey,"I'm about to lose my mind
You've been gone for so long
I'm runnin' out of time
I need a doctor, call me a doctor
I need a doctor, doctor
To bring me back to life

I told the world, one day I would pay it back
Say it on tape, and lay it, record it
So that one day I could play it back
But I don't even know if I believe it when I'm sayin' that
Doubts startin' to creep in, every day it's just so grey and black

Hope, I just need a ray of that
'Cause no one sees my vision when I play it for 'em
They just say it's wack, but they don't know what dope is
And I don't know if I was awake or asleep when I wrote this
All I know is, you came to me when I was at my lowest
You picked me up, breathed new life in me, I owe my life to you
But for the life of me, I don't see why you don't see like I do
But it just dawned on me you lost a son, demons fightin' you
It's dark, let me turn on the lights
And brighten me and enlighten you

I don't think you realise what you mean to me
Not the slightest clue, 'cause me and you were like a crew
I was like your sidekick, you gon' either wanna fight
When I get off this fuckin' mic, or you gon' hug me
But I'm outta options, there's nothin' else I can do 'cause

I'm about to lose my mind
You've been gone for so long
I'm runnin' out of time
..."
Guts Over Fear,Eminem feat. Sia,"Feels like a close, it's coming to
Fuck am I gonna do?
It's too late to start over
This is the only thing I, thing I know

Sometimes I feel like all I ever do is
Find different ways to word the same, old song
Ever since I came along
From the day the song called ""Hi! My Name Is"" dropped
Started thinking my name was fault
'Cause anytime things went wrong
I was the one who they would blame it on

The media made me the, uh, equivalent of a modern-day Genghis Khan
Tried to argue it was only entertainment, dawg
Gangster? Nah, courageous balls
Had to change my style
They said I'm way too soft
And I sound like AZ and Nas, out came the claws
And the fangs been out since then
But up until the instant that I've went against it

It was ingrained in me that I wouldn't amount to a shitstain I thought
No wonder I had to unlearn everything my brain was taught
Do I really belong in this game? I pondered
I just wanna play my part, should I make waves or not?
So back and forth in my brain the tug of war wages on

And I don't wanna seem ungrateful
Or disrespect the artform I was raised upon
But sometimes you gotta take a loss
And have people rub it in your face before you get made pissed off
And keep pluggin', it's your only outlet
And your only outfit so you know they gonna talk about it
Better find a way to counter it quick and make it, ah

Feel like I've already said this a kabillion eighty times
How many times can I say the same thing different ways that rhyme?
What I really wanna say is
If there's anyone else that can relate to my story
Bet you feel the same way I felt
When I was in the same place you are, when I was afraid to...

I was a...
Afraid to make a single sound
..."
The Ringer,Eminem,"Yeah (Illa)
Yo, I'm just gonna write down my first thoughts
And see where this takes me
'Cause I feel like I wanna punch the world
In the fuckin' face right now
Yeah

Let me explain just how to make greatness
Straight out the gate, I'm 'bout to break it down
Ain't no mistakes allowed, but make no mistake, I'm 'bout
To rape the alphabet, I may raise some brows
If I press the issue just to get the anger out (Brrr!)
Full magazine could take Staples out
Savage but ain't thinkin' 'bout no bank account
But bitch, I'm off the chain like Kala Brown

Motherfucker, shut the fuck up when I'm talkin', lil' bitch
I'm sorry, wait, what's your talent? Oh, critiquin'
My talent? Oh, bitch, I don't know who the fuck y'all are
To give a sub-par bar or even have an opinion or view
You mention me, millions of views, attention in news
I mention you, lose-lose for me, win-win for you
Billions of views, your ten cents are two

Skim through the music to give shit reviews
To get clicks, but bitch, you just lit the fuse
Don't get misconstrued, business as us'
Shit-list renewed, so get shit to do
Or get dissed 'cause I just don't get
What the fuck half the shit is that you're listenin' to

Do you have any idea how much I hate this choppy flow
Everyone copies though? Prob'ly no
Get this fuckin' audio out my Audi, yo, adiós
I can see why people like Lil Yachty, but not me though
Not even dissin', it just ain't for me
All I am simply is just an emcee
Maybe Stan just isn't your cup of tea (Get it?)
Maybe your cup's full of syrup and lean

Maybe I need to stir up shit, preferably
Shake the world up if it were up to me
Paul wants me to chill, y'all want me to ill
I should eat a pill, probably I will
Old me killed the new me, watch him bleed to death
I breathe on the mirror, I don't see my breath
Possibly I'm dead, I must be possessed
Like an evil spell, I'm E-V-I-L (Evil, spelled)

Jam a Crest Whitestrip in the tip of my dick
With an ice pick, stick it in a vise grip
Hang it on a spike fence, bang it with a pipe wrench
While I take my ball sack and flick it like a light switch
Like Vice President Mike Pence
Back up on my shit in a sidekick as I lay it on a spike strip
These are things that I'd rather do than hear you on a mic
Since nine tenths of your rhyme is about ice and
Jesus Christ, man, how many times is
Someone gonna fuck on my bitch? (Fuck my side chick!)

You won't ever see Em icy
..."
Gnat,Eminem,"Yeah, yeah, sick
(d.a. got that dope)

They say these bars are like COVID (bars are like COVID, what?)
You get 'em right off the bat (you get 'em right off the bat, yeah)
Infected with SARS and Corona (infected with SARS and Corona)
Like you took a bite off of that (you took a bite off of that, damn)
And it goes from martian to human (from martian to human, yeah)
That's how the virus attacks (that's how the virus attacks)
They come at me with machine guns (at me with machine guns, brr)
Like trying to fight off a gnat

Still stackin' my chips, hoes
Higher than Shaq on his tiptoes
Atop the Empire State Buildin'
This shit is like child's play, childrеn
I will anni-nihilate, kill them
I'll fuck around and pile еight million
Dead little juveniles, wait, chill, then
I'll await my trial date 'til then (what?)

Ain't nothin' you say could ever trump (nah), mic, pencil get killed (yeah)
If you're hypersensitive, I wasn't referencin' the vice president, chill (chill)
I mean my penmanship at times tends to get ill, violence but with skill
That's why I hence when I write ends up
With the mic and pencil gettin' killed (haha, yeah, hold up)

And I'm still ride or die for the squad (yeah)
So you know which side that I'm on
If a battle line's ever drawn, but if I get involved
It'll be like K9's in a brawl
But not similar to Mike Vick at all
'Cause even if I don't have a dog in the fight
They ain't never gonna get rid of the fight in the dog (fight in the dog)

Got stripes like a tiger, so you might get mauled, a mic in the palms
Like claws, I can swing right for your jaw
And rip it off with one swipe of the paw
Bitch, you still on my dick or nah? (Nah)
If I suck, your wife is a straw (straw)
I'm sick and I'm not gonna cover my mouth next time that I cough 'cause

..."
Beautiful Pain,Eminem feat. Sia,"I can feel the heat risin'
Everything is on fire
Today is a painful reminder
Of why we can only get brighter
The further you put it behind ya
But right now I'm on the inside
Lookin' out, 'cause

I'm standin' in the flames
It's a beautiful kind of pain
Settin' fire to yesterday
Find the light, find the light, find the light
I'm standin' in the flames
It's a beautiful kind of pain
Settin' fire to yesterday
Find the light, find the light, find the light

Yesterday was the tornado warning
Today's like the morning after
Your world is torn in half
You wake in its wake to start the mourning process
And rebuilding, you're still a work in progress
Today's a whole new chapter
It's like an enormous asthma
Thunderstorm has passed ya
You weathered it and poked its eye out with the thornbush that ya
Used to smell the roses
Stopped to inhale, can't even tell your nose is
Stuffed, so focused on the bright side then you floor the gas pedal
And hit the corner faster, more assertive
Never looking back, may hit the curb
But every day is a new learning curve as you steer through life
Sometimes you might not wanna swerve but you have to
To avert a disaster, lucky no permanent damage
'Cause they hurt you so bad
It's like they murdered your ass
And threw dirt on your casket
..."
Roman's Revenge,Nicki Minaj feat. Eminem,"I am not Jasmine, I am Aladdin
So far ahead, these bums is laggin'
See me in that new thing, bums is gaggin'
I'm startin' to feel like a dungeon dragon

Raah, raah, like a dungeon dragon
I'm startin' to feel like a dungeon dragon
Look at my show footage, how these girls be spazzin'
So fuck I look like gettin' back to a has-been

Yeah, I said it, has-been
Hang it up, flat screen
Plasma
Hey Nicki, hey Nicki, asthma

I got the pumps, it ain't got medicine
I got bars, sentencin'
I'm a bad bitch, I'm a cunt
And I'll kick that ho', punt

Forced trauma, blunt
You play the back bitch, I'm in the front
You need a job, this ain't cuttin' it
Nicki Minaj is who you ain't fuckin' with

You lil' brag-a-lot beat you with a pad-a-lock
I am a movie, camera block
You outta work, I know it's tough
But enough is enough

Raah, raah, like a dungeon dragon
Raah, raah, like a dungeon dragon
Raah, raah, like a dungeon dragon
Like a dungeon dragon, like a dungeon dragon

Raah, raah, like a dungeon dragon
Raah, raah, like a dungeon dragon
Raah, raah, like a dungeon dragon
Like a dungeon dragon, like a dungeon dragon

I ain't into S&M but my whip's off the chain
A little drop of candy paint drips off the frame
Twisted-ass mind, got a pretzel for a brain
An eraser for a head, fuckin' pencil for a frame

You don't like it then peel off, bitch, every last woman on Earth, I'll kill off
And I still wouldn't fuck you, slut, so wipe the smile on your grill off
I swear to God, I'll piss a Happy Meal off
..."
Headlights,Eminem feat. Nate Ruess,"Mom, I know I let you down
And though you say the days are happy
Why is the power off and I'm fucked up?
And, mom, I know he's not around
But don't you place the blame on me
As you pour yourself another drink, yeah

I guess we are who we are
Headlights shining in the dark night, I drive on
Maybe we took this too far

I went in headfirst, never thinkin' about who, what I said hurt
In what verse, my mom probably got it the worst
The brunt of it, but as stubborn as we are, did I take it too far?
""Cleanin' Out My Closet"" and all them other songs
But regardless, I don't hate you 'cause, Ma
You're still beautiful to me, 'cause you're my Ma

Though far be it from you to be calm
Our house was Vietnam, Desert Storm
And both of us put together could form an atomic bomb
Equivalent to chemical warfare
And forever we could drag this on and on

But agree to disagree, that gift for me
Up under the Christmas tree don't mean shit to me
You're kickin' me out? It's 15 degrees
And it's Christmas Eve, ""Little prick, just leave""
Ma, let me grab my fucking coat
Anything to have each other's goats
Why we always at each other's throats?
Especially when Dad, he fucked us both

We're in the same fuckin' boat
You'd think that'd make us close (nope)
Further away it drove us, but together, headlights shine
And a car full of belongings, still got a ways to go
Back to grandma's house, it's straight up the road

And I was the man of the house, the oldest
So my shoulders carried the weight of the load
Then Nate got taken away by the state at eight years old
..."
Gospel (with Eminem),Dr. Dre feat. Eminem,"Yeah (yeah, yeah, yeah, yeah, yeah, yeah, yeah)
What? (Uh) What? (Yeah, yeah, yeah, yeah, yeah, yeah, yeah)
Dre, you ready? (Woo, woo, woo, woo)
C'mon (yo, we gotta do whatever)
Alright (check, check, check, check, check)
Get 'em!

Cut 'em undercover, timeless
Ready for 'em, progress
Feeling like I'm just getting started
Two shots back for my dearly departed
Uh, you are now dealing with a monster
Boss shit, profits
Doc Dre, bitch, I'm a prophet
Black Wall Street, niggas know what a stock is

Heh, try me
Niggas never see me, but it ain't hard to find me
Heh, unwinding
Shit's blinding, still grinding
Uprising, agh
Stop talking 'bout the past, I'm the future, nigga
Agh
Nigga like me still here, motherfucker, go figure

Looking for my next gold digger
This summer here gon' be colder than winter
Already told you, I fold you like hundreds of billions
And you can go missing, put that on my children
Bet that, nigga, what?
Regret that, run it up
Heh, and I'm about to sum it up

This shit here that problem
..."
